walker	beta0	tau_sq_0	ell0	beta1	tau_sq_1	ell1	beta2	tau_sq_2	ell2	beta3	tau_sq_3	ell3	beta4	tau_sq_4	ell4	beta5	tau_sq_5	ell5	beta6	tau_sq_6	ell6	beta7	tau_sq_7	ell7	beta8	tau_sq_8	ell8	beta9	tau_sq_9	ell9	beta10	tau_sq_10	ell10	beta11	tau_sq_11	ell11	beta12	tau_sq_12	ell12	beta13	tau_sq_13	ell13	beta14	tau_sq_14	ell14	beta15	tau_sq_15	ell15	beta16	tau_sq_16	ell16	beta17	tau_sq_17	ell17	beta18	tau_sq_18	ell18	beta19	tau_sq_19	ell19	beta20	tau_sq_20	ell20	beta21	tau_sq_21	ell21	beta22	tau_sq_22	ell22	beta23	tau_sq_23	ell23	beta24	tau_sq_24	ell24	beta25	tau_sq_25	ell25	beta26	tau_sq_26	ell26	beta27	tau_sq_27	ell27	beta28	tau_sq_28	ell28	beta29	tau_sq_29	ell29	sigma_noise	sigma_gp	lambda	log_l	log_p
5	4.952009069e+02	1.789112422e+01	9.713677751e-02	-8.298544230e+02	3.412008106e-05	3.839437589e-03	5.263327255e+02	4.642468220e+01	4.057930213e-01	-5.660855835e+02	4.615474623e-04	4.060459400e-02	-3.979560895e+02	1.176546991e+00	2.269945348e-01	-6.603182378e+02	6.075660912e+01	4.904997020e-03	-8.801586342e+02	5.209905785e-01	3.197464008e-01	2.714502247e+02	5.321424618e-04	1.878531817e-02	-5.066809445e+02	2.789060498e-01	3.158661400e-03	-2.638450404e+02	2.527271982e-06	4.470158113e+00	3.246754557e+02	2.612951257e-04	4.456827649e+01	7.422356882e+02	6.129601918e-04	1.683730048e+01	5.516774770e+02	2.553293485e-06	5.055765228e+00	2.150625182e+02	1.153649819e-06	2.652961406e-01	-5.512407442e+02	1.474609193e-06	1.236068389e+01	8.910009326e+02	1.362175917e-05	5.699802440e+00	-4.287258725e+02	2.545960355e-03	1.962989663e+00	-5.122764272e+02	7.462981311e-03	5.141249942e+01	-3.818296855e+01	2.082507384e-02	4.340600744e-03	2.298562623e+02	6.105475015e-02	7.533305386e+01	-9.097919975e+02	2.629122882e-03	8.785453808e-02	-1.695315390e+02	2.582815175e+01	6.378620411e-03	-7.750447920e+02	1.435125390e-05	9.146923140e+00	-6.642140815e+02	4.900944575e-05	2.090058405e-01	4.727544771e+01	1.436920905e-05	1.169372686e-02	-3.059427891e+02	1.061144004e-03	2.107548099e-02	-9.464582002e+02	1.005051606e-06	5.610193224e-03	5.664108876e+02	1.215539163e-04	1.007215496e+00	-9.851531498e+02	3.980693352e-02	4.191025876e-01	-3.830260682e+02	2.136150547e-05	1.405295882e-03	3.689191716e-01	2.002114969e-05	6.261967317e-03	-5.252183325e+12	-1.463585463e+02

6	-7.439016819e+02	8.555300248e-05	4.324393118e-01	2.229800585e+02	1.094604189e-06	2.677631512e+01	1.004297360e-01	2.210202989e-05	4.414858946e-02	-4.327985519e+02	5.992246998e+00	1.955206279e-03	3.758833716e+02	6.569605624e-02	1.533222501e+00	8.653488760e+02	3.841685642e+01	1.130692888e+00	7.297833273e+01	2.770852941e-05	2.131659184e+00	9.404283599e+02	6.545018919e-02	2.472446300e-03	5.989678993e+02	6.050236603e-01	1.729856238e-01	3.217506689e+02	3.016706437e-02	4.902916027e-02	-3.826933411e+02	8.399699324e-05	9.218789332e-01	-1.694264178e+01	7.300891626e-02	2.502980491e-01	5.689704784e+02	7.803674752e-02	3.718161750e-03	-2.060002669e+02	2.114873901e-06	5.137049041e+01	-2.969199867e+02	6.228310412e+00	8.058975951e-03	4.942920607e+02	1.916610661e-02	1.167397381e-01	-8.632449663e+02	1.721311969e-04	1.149538281e-01	-5.501321078e+00	8.507087675e-06	1.850629614e-03	1.900880177e+02	1.071893855e-03	4.581273985e-01	6.587150307e+02	1.757102938e+01	5.082982115e-02	7.648535238e+02	1.438671298e-02	1.672214622e-02	9.847890999e+02	2.853114182e-05	1.632013901e+00	5.923105376e+02	2.670802864e+00	4.096980763e-01	7.429347571e+02	1.385094579e-06	4.107229059e-02	-2.331302898e+01	1.489157382e+00	7.884328420e+00	8.786246233e+01	1.204584618e+01	1.549556218e+00	-6.281607768e+02	2.521505308e-04	2.805017201e+01	-2.945396525e+02	2.422104402e+00	1.531540431e-03	5.405475505e+02	1.028369494e-03	1.270060170e-02	9.879711409e+02	3.328324420e-04	7.340696826e+00	1.152180334e-03	7.021084899e-04	3.512159778e-02	-1.958087485e+17	-1.810311900e+02

7	-7.971395448e+02	2.096578297e-01	3.001051970e-01	1.548917186e+01	3.120993224e-05	2.066350775e+01	-3.151501467e+02	7.567781693e-01	4.357608123e+00	3.210325232e+02	7.238497961e+00	6.389050620e+01	3.701385969e+02	1.443871567e+00	2.335656540e+01	4.604578898e+02	4.242352813e+00	1.383077885e+01	2.717638172e+02	1.463825447e-04	6.484677990e+00	5.756828151e+02	5.417710593e-02	2.047849530e+00	5.597677031e+02	2.065152883e+00	3.366328001e+01	2.797795801e+01	2.162451482e+00	5.872315683e-01	3.014157660e+02	3.026694920e+00	1.195553704e+00	-6.003325839e+02	4.761831081e+00	1.596353892e+01	-7.494309706e+02	3.616771803e+00	3.124953950e-01	3.010475436e+02	4.459027174e+00	4.936742498e-02	-5.802906092e+02	6.070267269e+00	5.697132663e+01	3.277604626e+02	1.628368901e-04	7.084499593e+01	-3.983288342e+02	3.798053142e+00	1.124783761e-01	3.230722711e+02	1.414481895e+01	3.451420673e+00	-4.608206808e+02	2.635467953e-04	3.520132551e-02	-4.457285273e+02	6.403602025e-05	4.763537458e-01	6.703947753e+02	8.198185711e-01	4.913334253e+01	-2.433151574e+02	2.157660082e-04	7.902136779e-02	-2.689839460e+01	1.527464394e-02	5.323558417e-02	-7.183911320e+02	1.058514947e-01	7.843312812e+00	2.771135841e+02	4.764386441e-03	1.734854641e+00	6.496474018e+02	9.069913764e-04	4.938130248e+00	1.968025490e+02	3.215606732e+00	9.710893307e-02	-4.378977479e+01	2.093747079e-03	7.755193256e+00	-5.419040352e+02	2.786752318e+00	5.783297843e-02	-1.254160240e+02	3.650485724e-03	6.418652776e+00	1.102819887e-02	6.166915052e-02	3.035196800e+00	-2.493759760e+13	-3.417394564e+02

8	-4.385631610e+02	1.721985496e+00	2.223862820e-02	8.266910781e+02	5.677160779e-06	9.553510029e-01	8.681189600e+02	1.015206256e-01	9.811649536e+00	-7.380627584e+02	2.505199501e-02	7.206064655e-03	-7.473657372e+02	4.246163781e-05	2.118881907e-02	-9.543174744e+02	7.086590448e-05	2.536366462e-03	3.602349167e+01	7.060565198e+00	1.330527663e-03	-4.006261426e+02	2.544427495e-04	1.990592685e+00	-7.781744644e+01	1.249021857e+01	2.162401493e+01	-2.064859893e+02	3.136588578e+01	1.101089870e-01	4.445448765e+02	7.765485536e+00	3.474351088e+01	1.679151073e+02	9.189160823e-01	8.008008029e+00	-8.322324962e+02	7.295428279e+00	6.469904537e-03	4.200257771e+02	1.024933672e-05	4.628400370e-01	-4.141288172e+02	1.730012177e-04	8.300452601e+01	6.354318922e+02	9.353722514e-01	5.019282766e-02	-9.815875321e+02	2.488284901e+00	7.909340474e+01	5.841034344e+02	4.113311537e-02	2.686773535e+01	-7.633523237e+02	7.479735596e-04	2.413924572e-02	-4.197048878e+02	2.954758602e-05	4.893540607e-02	-6.213331709e+02	2.076496299e-01	1.186979117e+01	7.346656740e+02	1.752383855e+01	1.165474159e-03	3.156810116e+02	1.277161452e-02	8.819806345e+00	9.660027644e+02	6.327009752e-06	2.895507930e-03	4.770257865e+01	1.123219652e+01	1.503662045e+01	-9.175781176e+01	3.721472195e+01	2.337866502e-02	-9.696066824e+02	6.760897510e+00	3.698107485e-03	9.806268506e+02	2.340827528e+00	5.640253842e-02	4.758451234e+02	1.580357778e+00	7.119206710e+00	-6.728745692e+02	1.748480308e-05	2.719654696e+00	3.487743568e-06	1.887269697e+00	4.861159386e+00	-1.422619209e+22	-2.623001335e+02

9	-9.150653460e+02	3.416756901e+00	2.924369147e+00	6.120936773e+02	1.850448309e-01	1.144509230e-02	-1.458371283e+02	1.817917645e+00	2.517813465e-02	9.556242927e+02	1.728265263e-06	1.572991927e-01	4.127790380e+02	7.479497084e-02	7.955385872e-03	6.430241545e+02	1.187748671e-02	6.426508162e-02	-1.921429134e+01	1.092675964e-05	2.056582785e-03	3.444749483e+02	1.162243370e-05	5.777488282e-02	8.415127526e+02	1.723715777e-02	4.542241355e-02	7.346704485e+02	2.311242631e+01	1.884549847e-03	6.508841957e+02	1.526166012e+00	3.213569328e+00	-3.587157267e+01	9.215594543e-03	1.323948770e-03	7.955166225e+02	1.460293352e-03	4.145938546e+00	-5.365874382e+02	4.073459319e-02	5.950578304e+01	2.154604745e+02	2.041448012e-06	1.134246273e+00	-1.225397504e+02	7.809019001e-06	5.666219938e-03	9.809594861e+02	1.181318191e-03	3.528725707e-01	4.067304057e+02	4.792526409e+00	1.212597793e-03	8.782374217e+02	6.573420497e-03	3.849496159e-03	3.192399060e+02	1.917644430e+00	7.238388870e-03	2.708783747e+02	1.328611805e+00	1.075783362e+00	8.165158543e+01	9.948907178e-01	2.992926741e-02	6.450229181e+02	1.532684201e-03	5.250338180e-03	-2.757460761e+02	5.390557853e+00	2.554872618e+00	2.647441857e+02	3.322872958e+01	1.104072027e+00	-9.867134005e+02	5.410890801e+00	6.618623743e-01	-2.063748843e+02	8.223491795e-05	3.537129466e-03	-9.211720138e+02	1.634940433e+01	2.519321708e-03	-9.544708760e+02	8.241325115e+01	6.161262519e-02	-3.356312161e+01	6.156972431e-06	4.618811478e-01	8.543942274e-03	2.810815790e+01	2.569340472e-02	-3.893674982e+15	-2.045023265e+02

10	-2.992300473e+02	2.031280844e-01	1.852390216e-01	-3.771042381e+02	1.645910394e+01	8.500787279e-02	-3.964922345e+02	1.372104362e-05	3.618820711e+01	-3.173517070e+02	1.589225343e-06	3.114102303e+01	3.940467073e+02	5.510197469e+01	2.318843743e-02	-7.828470593e+02	1.887582154e-06	2.678780994e+00	4.962394556e+01	2.883494723e+00	5.071296910e+00	5.253553820e+02	1.244189437e-01	1.414595765e+00	1.701644741e+02	4.355491576e+00	5.850921913e+00	1.598238460e+02	1.858670681e-01	2.080294865e+00	2.482387408e+02	1.442266904e-02	1.533300957e+00	2.362310480e+02	1.256713303e-01	3.749305222e-01	3.500057067e+01	3.140061735e-02	6.030815905e+00	3.920386534e+02	7.972646323e-05	1.680271740e-01	-8.894573442e+01	1.035841225e-01	3.692335124e-03	-7.630795146e+02	1.555494887e-02	2.206041004e-01	-4.363091837e+02	1.245889525e-04	1.124811729e+01	1.117491336e+02	2.772485085e-03	4.505691200e+00	-4.982562751e+02	4.308086747e-03	9.969953909e-01	1.865452889e+02	7.587090232e-01	1.378748130e-01	-3.855201844e+02	3.039450928e+00	8.661245346e-02	9.650226823e+01	2.680925107e-01	9.944993785e-02	-6.313259210e+02	2.226054549e+01	3.163381357e+00	-8.194129634e+02	1.184134695e-01	2.062764836e-03	4.905623287e+02	1.907474593e+01	1.254072201e-03	1.664992679e+02	3.555218930e-01	9.806276874e+00	-5.075166771e+02	1.263075576e+01	2.569616038e+00	5.841135357e+02	2.587359156e+00	8.238150406e-02	7.043566644e+02	1.553425225e-01	3.198209869e-02	-6.883627341e+02	5.570501148e-02	9.535598547e-02	1.169526156e+00	6.161769726e+00	1.040363059e+00	-1.476677766e+11	-2.975447316e+02

11	-4.757444421e+02	2.213810009e+01	3.218853336e-01	8.506286600e+01	3.381718358e+01	1.704401125e+01	-8.766287709e+02	1.041677137e-03	2.407715788e+00	9.012991021e+02	5.446209308e-06	4.480244967e-03	4.204745501e+02	3.681222031e-02	1.532559417e-02	7.697461296e+02	1.811771771e-04	4.393782539e+01	-7.288627365e+02	1.776963797e+00	1.320265398e+00	8.765733375e+00	1.599184423e-06	8.670746296e-03	-5.995239750e+02	1.172290117e-03	6.510758260e-02	-3.698227448e+02	1.105691422e-02	8.971429529e-03	2.330476251e+02	8.004240477e-06	1.520689467e+01	-3.485565395e+00	1.378296367e+01	1.771494081e+00	-4.635105181e+02	1.091537520e-01	5.361325561e-01	-6.230795755e+02	1.566011647e-05	1.677945566e-01	-4.399639730e+02	2.689088089e-04	3.789486560e-01	4.138212431e+02	1.110704100e-03	7.630803161e+00	1.296581145e+02	3.472431882e-06	1.350908899e-02	-2.667252048e+02	5.566689747e-03	1.768099708e-02	7.242388028e+02	1.634016189e-03	8.929184205e-03	-1.295525841e+01	6.306205057e-04	2.756862041e+00	1.917492381e+02	1.403831683e-05	1.386565705e+01	-9.370020819e+02	3.214904396e-05	6.334549992e-01	-3.763562513e+02	8.616750905e-01	2.013260005e-02	2.431727965e+01	9.246983554e-01	1.422065087e-03	1.729810426e+02	2.906186413e-06	3.875458584e+01	-8.085852827e+02	1.372620712e-02	8.949217381e-01	-9.927197367e+02	7.125318130e-06	9.975623185e-02	7.900397557e+02	3.840705649e-04	1.027250693e+00	4.945964003e+02	7.671465728e-01	3.716130257e-01	5.518152345e+02	5.219471673e+01	6.579062416e-02	9.454146033e-03	5.264872298e+00	4.033150509e-03	-2.081288904e+15	-1.802188402e+02

12	6.133841238e+02	2.907442399e-02	2.954987420e+00	5.348198409e+02	1.464202873e-01	1.467317846e-03	-1.856837993e+02	9.668559457e-06	1.401997242e-01	3.170049831e+02	4.074569970e-02	1.531827582e-01	-4.572817194e+02	2.140920956e-02	2.460160395e+01	5.273633878e+02	1.369397574e-05	5.756256650e+00	-3.368724396e+00	3.797527385e-03	3.343830552e+00	1.742042996e+02	4.230909232e-04	2.661343891e-02	-2.337827416e+02	3.698289500e-03	2.401884828e+00	-2.364691167e+02	2.031288696e-01	2.957780257e+01	4.997554756e+01	1.357218354e-06	8.515141468e-02	6.847954611e+02	3.009457263e-06	1.169439616e-02	-5.031148568e+01	2.453328153e+01	7.327456627e-01	-3.423985326e+02	1.431846233e-06	7.025993208e+00	-8.288790352e+02	1.301733061e+01	5.057644049e+01	-6.577386033e+02	8.328243555e-02	4.348420571e+00	4.466784080e+02	3.034581795e-05	8.300679596e-02	3.573438302e+01	1.449788072e-05	4.014290858e-02	-9.448695570e+02	9.152973520e-05	1.599906992e-03	-8.729327787e+02	1.560944580e-01	1.913248799e-01	-4.055202086e+02	1.107604900e-06	8.572752350e+01	2.058309402e+02	2.946283146e-05	1.008246751e-03	-3.862128868e+02	8.583113432e-05	2.106844035e-01	3.475839755e+02	1.668298215e-06	7.800619604e+00	3.527153742e+02	1.474352714e-01	2.483347131e-02	7.429712838e+02	2.031467013e+01	9.444795423e+00	8.047483811e+02	2.643189345e-05	3.934940057e-01	-9.306246247e+02	1.965814799e+00	9.525127853e-03	-9.272272902e+02	1.572762213e-06	1.519239077e+01	-5.196635067e+02	4.049916131e-03	4.865354441e+01	3.412116964e-01	1.073580458e+00	3.148986478e-01	-4.620794759e+12	-1.767438275e+02

13	4.204666425e+02	6.448113400e+01	8.353710145e-02	-6.086344048e+02	1.107403678e-01	1.357932189e+00	7.164615444e+02	4.178456835e+01	2.856705087e+01	2.257859621e+02	1.197230363e+01	3.720692221e+01	-7.698304882e+02	4.608334778e-03	3.144665822e+01	-6.345468868e+02	6.006971976e-02	1.108635563e+00	7.182076060e+01	3.815904366e-03	4.560556463e+00	2.323152575e+01	5.715560379e-01	2.532227061e+00	-2.056455611e+02	1.024131794e-03	1.638889059e-01	-7.432011738e+02	4.195910598e-01	4.689550603e-02	5.828480893e+02	4.003952252e+00	9.412517424e-02	3.362768937e+02	3.154581982e+00	6.247786552e+01	-2.550855419e+02	3.159195031e-01	1.956065995e-03	7.369183397e+02	4.695926963e-01	5.068894212e+01	-2.373246965e+02	1.739865211e+01	3.188043409e+00	8.747656021e+02	3.419924813e+00	4.968033922e-01	1.732511299e+02	1.235511809e-02	7.636554301e-01	9.383839634e+02	2.710071193e+00	2.352321324e-01	-1.531101710e+02	5.890442520e-01	1.640498945e+00	3.956774935e+02	5.539483526e+00	9.987842168e-03	-7.782402210e+01	6.951572249e-02	3.367144446e+00	-2.722692367e+02	3.059654792e-04	3.568397247e-03	-2.928054482e+02	1.673862672e-01	4.003588121e+01	7.071453607e+02	8.957085732e-03	2.465226189e+00	6.498488486e+02	3.298849275e-04	4.287077240e+00	-2.107087531e+02	1.101613366e+00	6.240424524e-03	4.595623886e+02	2.609738916e-03	1.715675879e-01	-1.789213683e+01	8.364579217e+01	6.341396201e-01	5.668170543e+02	2.258422495e+00	3.662333339e+00	7.972039210e+02	3.976885787e+00	1.591928256e+01	4.157289999e-05	1.718205993e-01	4.044607946e-01	-1.122682113e+18	-3.465395108e+02

