walker	beta0	ell0	sigma_noise	sigma_gp	beta1	ell1	beta2	ell2	beta3	ell3	beta4	ell4	beta5	ell5	beta6	ell6	beta7	ell7	beta8	ell8	beta9	ell9	beta10	ell10	beta11	ell11	beta12	ell12	beta13	ell13	beta14	ell14	beta15	ell15	beta16	ell16	beta17	ell17	beta18	ell18	beta19	ell19	beta20	ell20	beta21	ell21	beta22	ell22	beta23	ell23	beta24	ell24	beta25	ell25	beta26	ell26	beta27	ell27	beta28	ell28	beta29	ell29	log_l	log_p
5	1.179239925e+00	5.079722631e-01	4.547217931e-01	4.062473017e+00	1.236664016e+00	8.400846264e-01	3.908837592e+00	4.516441440e-01	6.826820678e-01	1.676618841e+00	-3.046428281e+00	4.857905263e+00	-1.436951661e+00	8.429704631e-01	-1.589721122e+00	3.979707595e-01	-3.236429259e+00	3.705161460e+00	1.615348122e+00	4.597125070e+00	-1.825802123e+00	4.766316805e+00	5.525911749e-01	1.047012485e+00	2.244781873e+00	4.898498927e-01	3.290879435e+00	2.535623899e+00	-3.031939920e+00	6.548659331e+00	2.961592025e+00	1.464335421e+00	-1.033021673e+00	4.556355533e-01	-1.918605591e+00	1.907484758e+00	-8.581118326e-01	2.760806785e+00	7.747015671e-02	1.059745232e+00	1.728308710e+00	7.210709620e-01	2.017554626e+00	2.102508602e+00	-1.656799120e+00	2.804986392e+00	1.861105341e+00	9.019530856e-01	1.332818563e+00	2.251037086e-01	4.540554283e-01	3.517185233e-01	-2.677901912e+00	1.909493001e+00	-4.839597561e+00	2.821394594e+00	-1.415126302e+00	1.631586192e+00	-5.934031170e-01	4.546043880e-01	6.605839726e+00	1.818593459e-01	-7.862947287e+03	-1.222681207e+02

6	-1.032548248e+00	1.497490266e+00	4.053347556e-01	4.128923366e+00	-1.176324188e+00	7.441167613e-01	6.916153509e-01	2.080067819e+00	3.309103796e+00	1.168363378e+00	1.719943186e+00	1.043604518e+00	2.184337903e+00	1.080735739e+00	2.763740943e-01	6.550758313e-01	1.362200455e+00	1.657496858e+00	-6.194558086e-02	1.859978095e+00	-6.830531114e-01	1.455249938e+00	5.797629358e-01	1.763199028e+00	-1.569624877e-01	1.639089943e+00	-1.101891254e+00	1.865077232e+00	5.769215793e-01	7.288295266e-01	-1.350412476e+00	8.865552146e-01	-4.496526085e-01	3.886523689e-01	5.237085393e-01	4.101460243e-01	1.794450953e+00	1.031769088e+00	1.168595563e+00	1.991050688e+00	1.758743911e+00	2.717218604e+00	-8.019894050e-01	7.363209453e-01	-3.296173021e-01	6.419151699e-01	6.607530966e-01	2.943059672e-01	2.083965394e+00	4.474013206e-01	1.190227954e+00	1.790742147e+00	-3.286481857e-02	1.240395744e+00	-8.817016423e-01	1.437209561e+00	-3.354523018e+00	1.321649490e+00	-3.132554346e+00	5.685052465e-01	1.076367755e+00	2.083991759e+00	-7.420222075e+02	-9.503385685e+01

7	-1.152708164e+00	1.227516200e+01	3.172043239e+00	6.343410809e-01	9.763099353e-02	2.514406042e-01	1.133513721e+00	9.238451979e-01	1.486273296e+00	6.118430235e-01	-1.630227932e+00	1.056782666e+00	-1.544604998e+00	4.349788865e-01	-2.057825279e+00	9.080510886e-01	3.698872930e+00	1.268507405e+00	1.241598394e-01	3.464391519e+00	1.685377109e-02	7.943966624e-01	1.024376614e+00	5.185700943e-01	-2.782167483e+00	4.603390516e-01	-1.338792336e+00	7.169724378e-01	-1.437187996e+00	1.629854980e+00	2.335853516e-03	2.012543937e+00	6.633302483e-01	8.908983182e-01	1.647642905e+00	1.027793437e+00	2.509008374e+00	7.206863006e-01	-1.140408964e+00	1.025250802e+00	3.221829484e+00	9.157419783e-01	-2.601815082e+00	1.370132906e+00	2.082435659e+00	6.639043496e-01	-7.392885854e-01	5.618814881e-01	-6.805231650e-01	1.123703659e-01	1.642875340e+00	3.811579864e+00	9.074049940e-01	6.531498222e-01	3.875516465e+00	3.166305680e-01	2.580250514e+00	6.373474331e+00	-9.891347273e-01	2.951230454e+00	-2.355108247e+00	1.130376215e-01	-1.069191389e+03	-1.053661556e+02

8	-8.061438815e-01	1.238738606e+00	2.354473466e-01	6.249198719e+00	2.981138193e+00	1.385512747e+00	-6.818242774e-01	7.017779355e-01	-1.181679152e+00	2.239292833e+00	9.412095216e-01	3.914047428e-01	2.105869152e+00	1.081620322e+00	-3.834880008e-01	9.327096967e-01	1.098897256e+00	1.312526792e+00	-3.385971597e+00	3.589201950e-01	-8.501177232e-01	1.447102016e+00	1.492149330e+00	3.558432369e-01	2.984234842e-01	9.803761763e-01	4.422477212e+00	4.835526052e-01	2.869726165e+00	4.092222422e+00	-1.201143188e+00	1.346981575e+00	-1.397323816e+00	3.410736438e-01	4.849801019e-01	2.568895437e-01	1.582629819e-01	1.823887557e+00	-1.197448885e+00	8.792792702e-01	3.343347311e-01	1.329214479e+00	4.286541606e-01	1.866069455e+00	-8.843253043e-01	9.747369610e-01	-1.047038562e+00	5.876790490e-01	-9.946536184e-01	8.065540049e-01	-2.914163695e-01	4.907112068e-01	-2.679599694e+00	5.170571951e-01	-8.382528362e-01	7.640700424e-01	-1.596021641e-01	6.635352168e+00	-8.789994195e-01	8.502647021e-01	1.736401905e+00	1.940695211e-01	-2.991514980e+02	-9.628129433e+01

9	-3.194417103e+00	2.327651636e-01	2.652335185e+00	5.324903653e-01	-2.891356163e+00	6.934012960e-01	-1.738620647e+00	1.228348826e+00	1.002116494e+00	5.926796111e-01	6.403344572e-01	7.563906568e-01	1.755639992e+00	1.040220849e+00	-7.520049791e-02	1.361110111e+00	1.571870047e+00	8.250726941e-01	-8.268889300e-02	7.292068928e-01	-4.644148295e-01	5.921517774e-01	-5.370951852e-01	1.939589776e+00	-2.841278300e-01	1.358435892e+00	1.632863074e+00	1.927251558e+00	2.348227365e+00	4.922181695e-01	-1.979280969e+00	2.522694583e+00	1.499913548e+00	9.558936684e-01	1.380344805e+00	4.549046414e-01	2.577761035e+00	4.007075951e+00	-1.409175679e+00	7.571332889e-01	-2.187542965e+00	2.436356828e+00	-9.873907499e-01	8.371376719e-01	3.748000005e-01	1.990248977e+00	-5.625706336e-01	4.124247981e-01	-9.154241357e-01	1.444163827e+00	-1.583989450e+00	1.953622199e+00	1.160476102e+00	2.209310468e-01	2.957788245e+00	3.118421566e+00	1.747023508e+00	9.188191355e-01	9.089459005e-01	2.736482400e-01	6.352027834e-01	1.350163265e+00	-1.059170151e+03	-9.571123572e+01

10	1.737127007e+00	5.668419615e-01	3.555399632e+00	1.274553625e+00	-8.608683290e-01	3.688068383e-01	1.248984752e-01	2.767285434e-01	-6.380169352e-02	9.219273878e-01	-6.482820674e-01	1.690243846e+00	-2.162795232e-01	5.660941270e-01	-5.621323642e-01	4.591434489e-01	-1.923871696e+00	2.243554239e+00	-1.490968510e+00	6.552386543e-01	3.780157670e+00	3.565430159e-01	2.325020050e+00	1.112801711e+00	-1.776038410e+00	2.046163131e-01	1.305907780e-01	8.169901145e-01	-2.757199944e+00	7.669951895e-01	-2.674684079e+00	1.150280310e+00	-1.556075947e+00	9.138396429e-01	8.916712432e-01	1.053103525e+00	-2.349609971e+00	3.369231157e+00	2.670995256e+00	2.139125223e+00	-3.076300014e+00	1.902468245e-01	-1.936409419e+00	4.780010581e-01	2.276077446e+00	2.345610285e+00	-2.870529193e+00	1.351575824e+00	-1.450076122e+00	2.624319244e-01	2.032189481e-01	3.115416353e+00	-9.429207881e-01	6.464047072e+00	1.045507349e-01	8.630634608e-01	2.666515776e-01	9.917366855e-01	-1.658314017e+00	2.532951755e+00	5.836945186e-02	9.862208782e-01	-2.554628148e+03	-1.002670836e+02

11	1.277064809e-01	1.198016974e+00	1.604724249e+00	2.180870575e+00	9.655268612e-01	5.377598890e-01	2.969779145e+00	1.119533337e+00	-7.506775302e-02	3.030799660e+00	-2.369360267e+00	2.891572563e+00	8.512525079e-03	1.620911920e+00	-3.540370174e+00	4.791920344e-01	-7.538780774e-01	1.803868056e+00	2.494077925e+00	2.326296761e+00	1.059579570e+00	4.343036610e+00	-7.927241633e-01	1.092578727e+00	-1.765539611e-01	6.869312237e-01	2.626229224e+00	1.815626154e+00	-2.092675018e+00	4.295215006e+00	4.935641178e-01	5.797127990e+00	-5.424125739e-01	1.854317993e+00	-8.036889877e-01	8.636027515e-01	9.987255612e-01	2.102104417e+00	-1.624528341e+00	1.173029115e+00	1.014253546e+00	2.106500254e+00	-3.130634814e-01	9.764667218e-01	-6.947591386e-01	3.268412060e+00	1.334679455e+00	6.274233030e-01	9.589889869e-02	1.275775305e+00	1.557785996e+00	3.551952435e-01	-4.202131578e+00	1.558669769e+00	-2.672339986e+00	1.766051772e+00	-1.837329973e+00	1.091350645e+00	-1.002077951e+00	5.152527482e-01	3.095886441e+00	1.134435805e+00	-1.047222064e+03	-1.110704670e+02

12	3.042596872e-01	1.588418388e+00	1.304069683e+00	1.958201158e+00	-1.970215765e+00	1.726188865e+00	2.833512317e+00	1.314760544e+00	5.681537802e-01	4.224717082e+00	-4.024081659e-01	1.535800664e+00	3.039576660e+00	1.560018262e+00	-4.613799243e+00	6.720758261e-01	-9.935980934e-01	1.476790917e+00	1.116287083e+00	1.967445024e+00	-1.117599387e+00	1.921138712e+00	2.217291371e-01	7.964135554e-01	8.951699553e-01	4.110195215e-01	-2.492044811e+00	1.797935342e+00	-3.077171091e+00	2.105533375e+00	5.402894440e-01	2.743185044e+00	9.011483501e-01	1.789793043e+00	1.241709519e+00	2.942408861e+00	-7.963583585e-01	1.188162741e+00	1.764561442e-01	5.451462124e-01	1.256410368e+00	1.617594767e+00	8.598238309e-01	5.361308338e-01	1.215485909e+00	1.396184645e+00	-7.856261383e-01	7.137331418e-01	1.764304518e+00	6.562261017e-01	8.317022530e-01	3.807195010e-01	-1.295257542e+00	7.534949069e-01	6.498735487e-01	7.414202774e-01	-3.781612322e-01	8.503907444e-01	-2.250212044e+00	1.128951104e+00	1.234340601e+00	1.327428929e+00	-1.054246417e+03	-1.004602753e+02

13	1.513994869e+00	2.406531515e-01	1.478826252e+01	3.119207507e-01	-2.281333066e-01	7.655813957e-01	-6.228276521e-01	1.047665392e+00	3.614515324e+00	1.325370861e+00	-8.684049348e-01	2.858532601e-01	-1.227833555e+00	4.583001450e-01	-1.076341388e-01	1.787661346e+00	2.618546486e-01	8.053040594e-01	3.514005410e-01	9.379859024e-01	-1.052868618e+00	1.143273780e+00	-1.482203854e-01	2.330293164e-01	-5.113326928e-01	2.303796972e+00	3.906951383e-01	6.757464110e+00	-3.107083896e+00	1.423874099e+00	-4.341294573e+00	8.427632093e-01	-1.514360784e+00	2.510705850e+00	2.223043382e+00	1.064890730e+00	-9.742528576e-01	2.158160736e-01	-8.982144975e-01	6.051766667e+00	2.949870387e+00	1.760793546e+00	-2.143397669e+00	8.441539439e-02	-1.215594106e+00	8.229870010e-01	-1.920422694e+00	2.820371855e+00	2.811915683e+00	2.247655711e-01	-2.718209114e+00	4.658883878e-01	1.883902015e+00	3.122075148e+00	1.284140396e+00	1.235182314e+00	-3.026633313e-01	1.049620915e+00	1.994568587e+00	3.083756156e+00	1.600269692e+00	2.969884437e+00	-1.471748985e+03	-1.125087305e+02

14	-1.139606646e+00	4.550990472e-01	1.325928101e+00	8.743381736e-01	1.130630685e+00	8.026871990e-01	-9.858824110e-02	1.164416616e+00	1.033118207e+00	5.495487793e+00	-7.859140339e-01	5.508374746e-01	2.637046348e+00	6.232434554e+00	-2.095336349e+00	5.934187930e-01	-8.237963675e-01	6.496776999e-01	3.156638482e+00	2.592369253e-01	3.018903324e+00	3.040737082e+00	-1.183886323e+00	4.200661794e+00	-3.537874535e+00	3.314832600e-01	2.178921903e+00	1.214194195e+00	-7.576030256e-01	7.387814270e-01	-5.658745508e-01	3.763083318e-01	2.962963391e-01	1.293623678e+00	-2.154108426e+00	9.458875639e-01	-1.431369354e+00	7.486153127e-01	1.766237295e+00	1.439617083e+00	2.808941533e-01	5.685241132e-01	-8.261121549e-01	2.128531714e+00	3.337968865e+00	1.563979268e+00	4.443638163e+00	1.516329434e+00	1.282630094e+00	7.224021254e-01	-4.665919864e-01	1.170107969e+00	-1.801748338e+00	1.154803670e+00	-9.414117263e-02	4.177910536e+00	2.504001666e-01	3.057177475e+00	-4.029574514e-01	1.224656721e+00	2.951267528e+00	9.606196863e-01	-1.613704386e+03	-1.060425093e+02

15	1.632384322e+00	5.217911623e-01	5.884527113e+00	9.289726548e-01	2.854412969e+00	1.914123575e-01	-5.729388774e+00	1.477652837e+00	2.902446788e-01	1.074588253e+01	2.258788439e-01	1.451706858e+00	-6.840103763e-01	3.660281150e-01	1.018323988e+00	1.694837988e-01	2.499535635e+00	1.032026169e+01	3.796573294e-01	1.441802790e+00	-1.319154234e+00	1.723707493e+00	7.180622071e-01	7.321122280e-01	-2.971096541e+00	1.579405827e+00	-1.297063877e-01	4.767991789e-01	-1.385953850e+00	7.965411674e-01	3.263327749e+00	2.505344555e+00	1.009799186e+00	5.956690613e-01	-3.051651772e+00	6.044314383e-01	1.158607244e+00	2.053543126e+00	2.160252017e+00	7.527368389e-01	-1.106111666e+00	4.796116914e-01	4.817651722e+00	4.647918517e+00	2.093270364e+00	1.447430736e+00	1.679921938e+00	3.234140605e-01	-3.140052160e+00	8.484778126e-01	2.227429000e+00	5.598289046e-01	4.677149356e-01	5.072230777e+00	6.292817290e-01	7.711399403e-01	-9.658201241e-01	9.249455642e-01	2.664490682e+00	9.047574524e-01	3.949947675e+00	1.127063691e+00	-1.314314709e+03	-1.174533471e+02

16	-8.581761473e-01	5.387646265e-01	4.678346120e-01	7.284036446e-01	-7.192483745e-01	6.613225498e-01	-1.308588182e+00	2.101941633e+00	-2.046326659e+00	1.894124232e+00	-1.208169706e+00	4.855874814e+00	-1.367679750e+00	2.420739339e-01	-2.055837242e+00	5.077799945e+00	5.644128043e-01	6.289398579e+00	-1.243368795e-01	1.437289049e+00	-8.371929247e-01	5.928042113e-01	9.157381408e-01	1.593008817e+00	-2.416910550e-01	1.386683928e+00	-4.498435210e-01	1.831109813e-01	1.812232856e+00	2.656562967e-01	1.853350071e+00	7.096674217e-01	2.004380277e-01	1.279491616e+00	-9.531767379e-01	8.610987718e-01	-2.528332431e+00	2.280188434e+00	1.216570480e+00	2.230611137e+00	-2.752421728e+00	5.649713073e-01	-1.011587189e+00	8.981339895e-01	1.796017572e-01	9.258042219e-01	-8.906123554e-01	4.910741848e+00	-5.010340862e-01	3.234067022e+00	-3.365992524e-01	6.597509597e-01	2.747346635e+00	3.639872234e-01	8.572964105e-01	5.575434111e+00	-8.701746906e-01	1.102770966e+00	-7.868610146e-01	1.064318972e+00	1.725133307e+00	1.616775046e+00	-1.591080105e+04	-1.035792852e+02

17	-1.444742591e-01	1.067234571e+00	2.426897933e+00	1.182884303e+00	-1.492428876e+00	1.072555361e+00	-1.888151320e+00	6.803451698e-01	-2.043279955e+00	1.445919834e+00	-8.230636390e-02	3.573349633e+00	5.225959546e-02	3.152001465e-01	-1.548038953e+00	2.533556576e+00	-8.177841343e-01	8.235039454e-01	7.821876728e-01	2.281484298e+00	1.389658750e-01	9.465957565e-01	-7.652810716e-01	5.609622370e-01	7.696192089e-01	1.544633675e-01	-8.389452130e-01	9.965318050e-01	1.373137131e+00	1.228828082e+00	2.110383561e-01	6.254622598e+00	-1.176944743e+00	2.514212742e+00	-8.966454363e-01	1.422311471e+00	1.202303877e+00	6.509290082e-01	1.266544866e+00	1.518151569e+00	-8.873591296e-01	2.973386805e+00	-2.432935042e+00	3.478905287e+00	8.754096926e-01	2.354645732e+00	-1.256960237e-01	1.556264724e+00	3.022487762e-01	1.147188438e+00	4.611646952e-01	6.074960958e+00	-1.014871429e-01	1.369713247e+00	3.462968197e-01	2.692883062e-01	-2.304446909e+00	2.815055673e+00	-1.494806345e+00	5.916202125e-01	8.085873296e-01	3.351987173e+00	-2.447608574e+03	-1.054665938e+02

18	-1.374835238e+00	3.399324949e-01	1.064487482e+00	2.002577475e+00	1.681023558e+00	9.638500648e-01	-4.135406584e-01	2.009258081e+00	-9.144785064e-01	4.796974227e+00	3.103943979e+00	1.677758731e+00	-1.721976283e+00	8.450322142e-01	1.879010660e+00	2.662283787e+00	2.405771508e+00	1.090036449e+00	1.690316829e+00	4.823891282e-01	-7.153950975e-01	2.895775686e-01	-4.816936268e+00	3.281076551e+01	-1.688628436e+00	1.262755045e+00	-1.148085672e+00	3.068395860e+00	-3.024235829e+00	1.425719660e+00	1.824171999e+00	5.105790127e+00	1.209295823e+00	1.950627673e-01	-8.495202070e-01	5.923299944e-01	1.201248464e+00	3.934946459e+00	4.690993211e-01	4.215009890e-01	-2.996732481e-01	8.699230087e-01	-1.433444675e+00	1.729581044e+00	-3.141353526e-01	4.755053150e-01	-2.085484376e+00	2.566356916e-01	-1.955412628e-01	2.113308223e+00	7.426415384e-01	8.004841982e-01	-1.174570460e+00	1.011929606e+00	3.674006942e+00	4.311149004e+00	-8.298174338e-01	8.219214009e-01	-3.858165292e-01	3.896764166e-01	-4.035149948e+00	2.639599322e-01	-6.253789952e+03	-1.153403652e+02

19	-5.441378436e+00	3.535273214e-01	7.754666041e-01	2.816741634e-01	-4.728957208e-01	1.659373895e+00	-3.221626320e+00	1.352150781e+00	3.938911164e-02	5.665514982e+00	-1.081027347e+00	7.340456179e-01	2.768788445e+00	8.457494103e-01	-2.269447169e+00	3.033035857e-01	9.072201590e-03	8.635321494e-01	3.530898030e-01	6.218936210e-01	-2.202538055e-01	1.470873858e+00	-1.790636066e+00	2.605590439e-01	2.026594943e+00	6.771444339e-01	1.089034791e+00	5.343366859e-01	2.520649715e+00	4.431194156e+00	9.466185416e-01	3.589905743e+00	-2.508101605e+00	1.560726547e+00	-1.912539921e+00	8.123830684e-01	2.115913880e+00	8.539222698e-01	2.389942132e+00	6.262848929e-01	-4.612769576e-01	3.788631359e-01	3.612911240e+00	1.566930855e+00	-1.972468288e-01	4.176356379e+00	4.543768847e+00	3.929861035e+00	-9.704319353e-01	4.174122447e-01	4.649066137e-01	7.384186966e+00	-3.017010646e+00	9.017375723e+00	-2.878937340e+00	6.987318827e+00	1.306508546e+00	2.699546017e+00	2.715476789e+00	3.284379760e-01	1.235276713e+00	3.075546133e-01	-6.472964652e+03	-1.196732910e+02

20	1.871919312e+00	1.605830545e+00	6.758301585e-01	8.538983705e-01	6.558172712e-01	6.023121037e-01	3.008290820e+00	1.240217984e+00	-1.270534806e-01	5.371351107e+00	-1.115304476e+00	2.352972682e+00	1.865827851e+00	8.867642339e-01	-9.975968767e-01	3.130808723e-01	-9.107869465e-01	3.353832723e-01	-1.195835609e+00	1.928278687e+00	-2.296430316e-01	1.440547611e+00	1.121589451e+00	2.128249868e+00	-4.960735674e-02	1.659097901e+00	5.961559920e-01	4.962882833e-01	-1.338165717e+00	8.536990418e-01	-9.267043575e-01	1.147303138e+00	5.792611887e-01	4.135716015e+00	1.608076095e+00	8.926983793e+00	1.117754260e+00	3.027727414e+00	-1.062384945e+00	7.151904128e-01	-9.929877452e-01	1.103438882e+00	-4.405400116e-01	3.194972578e+00	-8.338567882e-01	1.357805478e+00	-4.032404504e-01	1.849839949e-01	2.550388650e+00	7.835558572e-01	-1.284782429e+00	5.342578109e-01	-1.992025727e-02	3.576376195e+00	6.178324072e-01	1.142031491e+00	4.853694724e-01	1.797750266e+00	-4.259188785e-01	1.627218385e+00	-2.259204058e+00	9.906807302e-01	-2.828235733e+03	-1.027570336e+02

21	-2.267565494e+00	2.837530144e-01	2.221607362e+00	7.086314697e-01	-6.392617348e-01	1.285776145e+00	-2.225036442e+00	1.706688074e+00	3.987930739e+00	3.178249532e-01	3.464958615e+00	3.807093346e+00	8.449125275e-01	2.147925018e+01	-1.646306862e+00	5.119551173e-01	1.038412342e+00	4.040344917e-01	-6.156105789e-01	5.849139389e-01	-1.552815198e+00	1.229516026e+00	1.871256197e+00	3.474069688e-01	9.658274911e-02	2.135719246e-01	1.545105027e+00	1.745469576e+00	-8.681693902e-01	1.556027790e+00	1.637661202e+00	1.491841856e+00	-3.918353108e+00	1.934820922e-01	-1.062753788e+00	2.044096027e+00	3.650258888e+00	2.343844555e-01	2.175775769e+00	9.939600904e-01	1.872801291e+00	2.602078354e+00	-1.370066668e+00	2.252665494e+00	-2.991783567e+00	5.565922803e+00	1.656155670e+00	7.890062488e-01	1.981534866e+00	7.502728895e-01	-1.604167293e+00	3.595043185e-01	-3.731674172e-01	1.593195124e+00	3.018361006e+00	1.022490038e+00	-2.050188254e+00	6.953750596e+00	-2.402664761e-01	4.635131518e+00	6.984133159e-01	8.565043527e-01	-1.199211302e+03	-1.163232669e+02

